Name,Name_Jap,Tags,Picture,Job,Job_Jap,Rank,Rank_Jap,Party_Jap,Related to Unit Table (Objective),ID
Tokyo Metropolitan Police Department,警視庁,,Objectives%204b905/Tokyo-Metropolitan-Police-Board-Headquarters-1931.png,,,,,,https://www.notion.so/Tokyo-Metropolitan-Police-Department-Group-e7e95a9b20b14b7cba70551525947e68,Objectives%204b905/%E8%AD%A6%E8%A6%96%E5%BA%81%20599d4.md
Ministry of the Army,陸軍省,,Objectives%204b905/Japanese_Army_HQ_Ichigaya.jpg,,,,,,https://www.notion.so/Ministry-of-the-Army-Group-52c9c2aa317b41e2bee191a9f8216f7b,Objectives%204b905/%E9%99%B8%E8%BB%8D%E7%9C%81%20b2512.md
The Asahi Shimbun Company,朝日新聞社,,Objectives%204b905/Tokyo_Asahi_Shimbun_Company_Building_1933.png,,,,,,,Objectives%204b905/%E6%9C%9D%E6%97%A5%E6%96%B0%E8%81%9E%E7%A4%BE%206faf2.md
Okada Keisuke,岡田啓介,,Objectives%204b905/Keisuke_Okada.jpg,Prime Minister,内閣総理大臣,Admiral,海軍大将,-,https://www.notion.so/PM-Assassin-Group-91c1ad42bb554b29814d2d343ab47a7a,Objectives%204b905/%E5%B2%A1%E7%94%B0%E5%95%93%E4%BB%8B%200cc79.md
Kantarō Suzuki,鈴木貫太郎,,Objectives%204b905/Kantaro_Suzuki.jpg,Grand Chamberlain,侍従長,Admiral,海軍大将,大政翼賛会,https://www.notion.so/Kantar-Suzuki-Assassin-Group-4bf4b53ce8164a6bb1f431bd629f7439,Objectives%204b905/%E9%88%B4%E6%9C%A8%E8%B2%AB%E5%A4%AA%E9%83%8E%20e1a4f.md
Saitō Makoto,斎藤実,,Objectives%204b905/Saito_Makoto.png,Lord Keeper of the Privy Seal,内大臣,Admiral,海軍大将,-,https://www.notion.so/Sait-Makoto-Assassin-Group-51982e70f7cd4bf2943aed3368690927,Objectives%204b905/%E6%96%8E%E8%97%A4%E5%AE%9F%20d890d.md
Takahashi Korekiyo,高橋是清,,Objectives%204b905/Korekiyo_Takahashi.jpg,Finance Minister,大蔵大臣,,-,立憲政友会,https://www.notion.so/Takahashi-Assassin-Group-a12095e9157d4ae2b665e812e893e6d1,Objectives%204b905/%E9%AB%98%E6%A9%8B%E6%98%AF%E6%B8%85%2030bf5.md
Makino Nobuaki,牧野伸顕,,Objectives%204b905/Nobuaki_Makino.jpg,,-,Admiral,海軍大将,-,https://www.notion.so/Makino-Nobuaki-Assassin-Group-7553e2c44bec45c5ada0b8f793a85412,Objectives%204b905/%E7%89%A7%E9%87%8E%E4%BC%B8%E9%A1%95%206e784.md
Jōtarō Watanabe,渡辺錠太郎,,Objectives%204b905/Jotaro_Watababe.jpg,Inspector General of Military Education,教育総監,General,陸軍大将,-,,Objectives%204b905/%E6%B8%A1%E8%BE%BA%E9%8C%A0%E5%A4%AA%E9%83%8E%202d7ce.md
Fumio Gotō,後藤文夫,,Objectives%204b905/Fumio_Got.jpg,Home Minister,内務大臣,,-,-,,Objectives%204b905/%E5%BE%8C%E8%97%A4%E6%96%87%E5%A4%AB%2053992.md
Saionji Kinmochi,西園寺公望,,Objectives%204b905/Kinmochi_Saionji.jpg,,-,,-,立憲政友会,,Objectives%204b905/%E8%A5%BF%E5%9C%92%E5%AF%BA%E5%85%AC%E6%9C%9B%20aba79.md